|Kingdom|Species|Strain|Release|Type|Link|
|Animalia (Nematode)|Ditylenchus destructor|Jiangsu 01|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/D_destructor/release/Dd_Jiangsu_01_R01V1][Release]]|
|Animalia (Nematode)|Ditylenchus dipsaci|Ontario 01|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/D_dipsaci/release/Ddi_Ontario_01_R01V1][Release]]|
|Bacteria|Arcobacter cibarius|LMG 21996|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/A_cibarius/release/Ac_LMG_21996_R01V1/][Release]]|
|Bacteria|Arcobacter lanthierii|AF 1430|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/A_lanthierii/release/Al_AF_1430_R01V1][Release]]|
|Bacteria|Arcobacter lanthierii|AF 1581|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/A_lanthierii/release/Al_AF_1581_R01V1][Release]]|
|Bacteria|Arcobacter septicus|AF 1028|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/A_septicus/release/As_AF_1028_R01V1][Release]]|
|Bacteria|Arcobacter septicus|AF 1078|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/A_septicus/release/As_AF_1078_R01V1][Release]]|
|Bacteria|Pantoea ananatis|LMG 2665|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/P_ananatis/release/Pa_LMG_2665_R01V1][Release]]|
|Bacteria|Pantoea stewartii|DOAB 021|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/P_stewartii/release/Ps_DOAB_021_R01V1][Release]]|
|Bacteria|Pantoea stewartii|DOAB 230|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/P_stewartii/release/Ps_DOAB_230_R01V1][Release]]|
|Bacteria|Pantoea stewartii|subsp Nov S301|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/P_stewartii/release/Ps_subsp_Nov_S301_R01V1][Release]]|
|Bacteria|Pectobacterium carotovorum|subsp brasiliensis isolate 1001|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/P_carotovorum/release/Pcb_subsp_brasiliensis_isolate_1001_R01V1][Release]]|
|Bacteria|Pectobacterium carotovorum|subsp brasiliensis isolate 1009|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/P_carotovorum/release/Pcb_subsp_brasiliensis_isolate_1009_R01V1][Release]]|
|Bacteria|Pectobacterium carotovorum|subsp brasiliensis isolate 1033|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/P_carotovorum/release/Pcb_subsp_brasiliensis_isolate_1033_R01V1][Release]]|
|Bacteria|Pectobacterium wasabiae|Ecw1002|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/P_wasabiae/release/Pw_Ecw1002_R01V1][Release]]|
|Bacteria|Ralstonia solanacearum|NCPPB 909 race 3 biovar 2|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/R_solanacearum/release/Rs_NCPPB_909_race_3_biovar_2_R01V1][Release]]|
|Bacteria|Ralstonia solanacearum|race 3 biovar 2 906 IIB-1 with low cold-Cl|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/R_solanacearum/release/Rs_race_3_biovar_2_906_IIB-1_with_low_cold-Cl_R01V1][Release]]|
|Bacteria|Streptomyces scabies|CG-1|R02V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/S_scabies/release/Ss_CG-1_R02V1][Release]]|
|Fungi|Penicillium verrucosum|KAS 4260|R02V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/P_verrucosum/release/Pv_KAS_4260_R02V1][Release]]|
|Fungi|Tilletia caries|DAOM 238032|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/T_caries/release/Tca_DAOM_238032_R01V1][Release]]|
|Fungi|Tilletia controversa|DAOM 236426|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/T_controversa/release/Tc_DAOM_236426_R01V1][Release]]|
|Fungi|Tilletia indica|DAOM 236416|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/T_indica/release/Ti_DAOM_236416_R01V1][Release]]|
|Fungi|Tilletia walkeri|DAOM 236422|R01V1|Transcript Assembly|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/T_walkeri/release/Tw_DAOM_236422_R01/Tw_DAOM_236422_R01V1][Release]]|
